paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
LiuM_2024_doi_2023.07.23.550157,4DNESUAORW1V,shRnf2-1,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,2,1,4DNFI74RK6U3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3540f3df-310d-4f76-b91a-a65cc81c9761/4DNFI74RK6U3.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESUAORW1V,shRnf2-1,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection disruption for Rnf2 mouse gene,multiplexed FISH,4,2,2,4DNFI6TMTKB5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b8a454c2-91af-4a1d-b5f8-a38e6cfa9d72/4DNFI6TMTKB5.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESTI84OV9,shNTC,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection,multiplexed FISH,4,2,1,4DNFI4X3AQTL,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/71ea1716-de9e-4866-98b0-0037db06b5f8/4DNFI4X3AQTL.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESTI84OV9,shNTC,Multiplexed FISH in lung LUAD primary cell line,type II pneumocyte,primary cells,Other,lung,None,Stable Transfection,multiplexed FISH,4,2,2,4DNFI4QHGRUR,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d42471cb-46b4-4ffa-8d04-ce8505a0a083/4DNFI4QHGRUR.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNES7V47RFL,PDAC (GFP+),Multiplexed FISH in pancreatic tissue,PDAC cells from mouse SA8068,primary cells,Primary Cells,pancreas,None,Viral Transduction,multiplexed FISH,4,1,1,4DNFIGQ7OKN3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fa763097-e393-4f9a-aee1-984b4f0d195e/4DNFIGQ7OKN3.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNES3UJAQMU,PanIN-green (GFP+) Mutant,Multiplexed FISH in pancreatic tissue,PanIN cells from mouse,primary cells,Primary Cells,pancreas,None,Viral Transduction and Viral Transduction,multiplexed FISH,4,1,1,4DNFI98GTV84,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a799a416-6e0d-47cd-bd39-0b527b3b6bf7/4DNFI98GTV84.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESPU4QLF3,PanIN-yellow (GFP+tdTomato+),Multiplexed FISH in pancreatic tissue,PanIN cells from mouse,primary cells,Primary Cells,pancreas,None,Viral Transduction and Viral Transduction,multiplexed FISH,4,1,1,4DNFI1RAST4K,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/46b3ac2c-4b6f-4b91-976f-048339296710/4DNFI1RAST4K.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNES82VLU4S,PanIN-red (tdTomato+) WT,Multiplexed FISH in pancreatic tissue,PanIN cells from mouse,primary cells,Primary Cells,pancreas,None,Viral Transduction and Viral Transduction,multiplexed FISH,4,1,1,4DNFIS6NNMB8,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/10846d1c-9956-4778-b002-09ac9a9318bd/4DNFIS6NNMB8.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESA7GOBZR,WT CK19+ duct cells,Multiplexed FISH in pancreatic tissue,Pancreatic duct cells from mouse SA6144,primary cells,Primary Cells,pancreas,None,None,multiplexed FISH,4,1,1,4DNFI72BLY59,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/91b3cd00-46be-46e0-bd6b-1f94f20fb912/4DNFI72BLY59.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESN7RP1VC,LUAD (GFP+),Multiplexed FISH fine-scale in lung tissue,LUAD from mouse MM2030 (fine-scale),primary cells,Primary Cells,lung,None,None,multiplexed FISH,5,1,1,4DNFI75QYDB6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f1382ed0-0bcf-420d-a438-2366000fa6f8/4DNFI75QYDB6.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESL63T3CQ,Adenoma-green (GFP+) Mutant,Multiplexed FISH fine-scale in lung tissue,Adenoma from mouse SA3961 (fine-scale),primary cells,Primary Cells,lung,None,None,multiplexed FISH,5,1,1,4DNFIBLLDDJH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f4aec8f7-2017-475b-aa2b-d24c36cece77/4DNFIBLLDDJH.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESAH29OB7,Adenoma-yellow (GFP+tdTomato+),Multiplexed FISH fine-scale in lung tissue,Adenoma from mouse SA3961 (fine-scale),primary cells,Primary Cells,lung,None,None,multiplexed FISH,5,1,1,4DNFI25CJ29K,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/37f4b673-d613-418b-a810-2a8f5f3f4efa/4DNFI25CJ29K.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNES6ZB1RRK,Adenoma-red (tdTomato+) WT,Multiplexed FISH fine-scale in lung tissue,Adenoma from mouse SA3961 (fine-scale),primary cells,Primary Cells,lung,None,None,multiplexed FISH,5,1,1,4DNFIEDZTLFH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2069c7db-7ded-40eb-9956-e5839fde572e/4DNFIEDZTLFH.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNES1MPPNUZ,WT AT2 cells,Multiplexed FISH fine-scale in lung tissue,AT2 from mouse SA5258 (fine-scale),primary cells,Primary Cells,lung,None,None,multiplexed FISH,5,1,1,4DNFIEC1D26L,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2229c9c9-2aa6-4cf1-850b-29ffefd74445/4DNFIEC1D26L.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESX1I17ZA,LUAD (GFP+),Multiplexed FISH in lung tissue,LUAD from mouse SA3440 and LUAD cells from mouse MM1433 and LUAD cells from mouse MM2030 and LUAD cells from mouse SA3501 and LUAD cells from mouse MM1690,primary cells,Mixed samples,lung,None,Viral Transduction,multiplexed FISH,4,1,1,4DNFIU7X8FJJ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a21b73af-2ba3-42b3-9a57-e90f989668a1/4DNFIU7X8FJJ.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESMU7LCO2,Adenoma-green (GFP+) Mutant,Multiplexed FISH in lung tissue,Adenoma from mouse SA3961 and Adenoma from mouse SA3506 and Adenoma from mouse SA3441 and Adenoma from mouse SA3962,primary cells,Mixed samples,lung,None,Viral Transduction and Viral Transduction,multiplexed FISH,4,1,1,4DNFI2N3SWH1,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/767ea379-0d4f-4550-8c99-bf4903dfae90/4DNFI2N3SWH1.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESJEWFX8Y,Adenoma-yellow (GFP+tdTomato+),Multiplexed FISH in lung tissue,Adenoma from mouse SA3961 and Adenoma from mouse SA3506 and Adenoma from mouse SA3441 and Adenoma from mouse SA3962,primary cells,Mixed samples,lung,None,Viral Transduction and Viral Transduction,multiplexed FISH,4,1,1,4DNFIYV18VMP,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1c726a72-e0fa-4b0a-be20-9f775d33efb5/4DNFIYV18VMP.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESNYALVVY,Adenoma-red (tdTomato+) WT,Multiplexed FISH in lung tissue,Adenoma from mouse SA3961 and Adenoma from mouse SA3506 and Adenoma from mouse SA3441 and Adenoma from mouse SA3962,primary cells,Mixed samples,lung,None,Viral Transduction and Viral Transduction,multiplexed FISH,4,1,1,4DNFI9PYHEEB,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f2a12914-64f6-4ebb-a0f3-e5f2ee575ae9/4DNFI9PYHEEB.csv,FOF-CT - DNA-spot/trace core (csv)
LiuM_2024_doi_2023.07.23.550157,4DNESSN3I72P,WT AT2 cells,Multiplexed FISH in lung tissue,AT2 from mouse SA4450 and AT2 from mouse SA5258 and AT2 from mouse SA4799 and AT2 from mouse SA4452,primary cells,Mixed samples,lung,None,None,multiplexed FISH,4,1,1,4DNFI3LNHCTH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b70df4ae-75a9-4c07-96ef-42bbc8869e5b/4DNFI3LNHCTH.csv,FOF-CT - DNA-spot/trace core (csv)
